Datum,Wohnungsart,Zimmeranzahl,Wohnungsgrösse_m2,Verkaufspreis,Wohnungs_Adresse
2022-12-11,Neubau,"4,5 Zimmer",135 m²,CHF 750 000.—,"Via Acquedotto, 6814 Cadempino, TI"
2022-12-11,Neubau,"2,5 Zimmer",70 m²,CHF 420 000.—,"Via Acquedotto, 6814 Cadempino, TI"
2022-12-11,Neubau,"4,5 Zimmer",100 m²,CHF 670 000.—,"Bernstrasse 36b, 4852 Rothrist, AG"
2022-12-11,Neubauprojekt,"3,5 Zimmer",108 m²,CHF 730 000.—,"Bahnhofstrasse 4, 3067 Boll, BE"
2022-12-11,Neubauprojekt,"5,5 Zimmer",150 m²,CHF 1 040 000.—,"Bahnhofstrasse 4, 3067 Boll, BE"
2022-12-11,Neubau,"2,5 Zimmer",92 m²,CHF 1 450 000.—,"Stockerstrasse 13-17, 8810 Horgen, ZH"
2022-12-11,Neubau,"3,5 Zimmer",95 m²,CHF 740 000.—,"Rosenaustrasse 48, 6032 Emmen, LU"
2022-12-11,Neubau,"2,5 Zimmer",66 m²,CHF 555 000.—,"Rosenaustrasse 48, 6032 Emmen, LU"
2022-12-11,Neubau,"5,5 Zimmer",128 m²,CHF 1 940 000.—,"1820 Montreux, VD"
2022-12-11,Neubau,"3,5 Zimmer",66 m²,CHF 600 000.—,"Route du Château d'Affry, 1762 Givisiez, FR"
2022-12-11,Neubau,"4,5 Zimmer",127 m²,CHF 499 000.—,"Rue du Quenet 3, 2822 Courroux, JU"
2022-12-11,Neubau,"4,5 Zimmer",96 m²,CHF 499 000.—,"Rue du Quenet 3, 2822 Courroux, JU"
2022-12-11,Neubau,"4,5 Zimmer",110 m²,CHF 1 800 000.—,"1071 Chexbres, VD"
2022-12-11,Neubau,"4,5 Zimmer",106 m²,CHF 810 000.—,"Bellevuepark 4, 2562 Port, BE"
2022-12-11,Neubau,"3,5 Zimmer",102 m²,CHF 795 000.—,"Bellevuepark  2, 2562 Port, BE"
2022-12-11,Neubau,"4,5 Zimmer",97 m²,Preis auf Anfrage,"Rue du Port 31, 1820 Montreux, VD"
2022-12-11,Neubau,"3,5 Zimmer",117 m²,CHF 935 000.—,"Sandacker 19, 5103 Möriken AG, AG"
2022-12-11,Neubau,"5,5 Zimmer",216 m²,CHF 1 290 000.—,"Lärchenweg, 3672 Oberdiessbach, BE"
2022-12-11,Neubau,"2,5 Zimmer",55 m²,CHF 339 000.—,"1907 Saxon, VS"
2022-12-11,Neubau,"4,5 Zimmer",125 m²,CHF 720 000.—,"1415 Démoret, VD"
2022-12-11,Neubau,"4,5 Zimmer",131 m²,CHF 795 000.—,"1415 Démoret, VD"
2022-12-11,Neubau,"5,5 Zimmer",172 m²,CHF 1 850 000.—,"1700 Fribourg, FR"
2022-12-11,Neubau,"4,5 Zimmer",138 m²,CHF 1 750 000.—,"1700 Fribourg, FR"
2022-12-11,Neubau,"3,5 Zimmer",n/a,CHF 520 000.—,"Veia Grava 7, 7460 Savognin, GR"
2022-12-11,Neubau,"5,5 Zimmer",135 m²,CHF 685 000.—,"Überführungsstrasse 9, 4538 Oberbipp, BE"
2022-12-11,Neubau,"5,5 Zimmer",138 m²,CHF 725 000.—,"Überführungsstrasse 9, 4538 Oberbipp, BE"
2022-12-11,Neubau,"4,5 Zimmer",138 m²,CHF 690 000.—,"Avenue des Platanes 8, 3960 Sierre, VS"
2022-12-11,Neubau,"4,5 Zimmer",153 m²,CHF 1 480 000.—,"Rebenweg 18, 8917 Oberlunkhofen, AG"
2022-12-11,Neubau,"4,5 Zimmer",130 m²,CHF 700 000.—,"2300 La Chaux-de-Fonds, NE"
2022-12-11,Neubau,"4,5 Zimmer",178 m²,CHF 1 780 000.—,"Hauptstrasse 143, 3286 Muntelier, FR"
2022-12-11,Neubau,"5,5 Zimmer",176 m²,CHF 1 520 000.—,"Hauptstrasse 143, 3286 Muntelier, FR"
2022-12-11,Neubau,"3,5 Zimmer",118 m²,CHF 1 120 000.—,"Hauptstrasse 143, 3286 Muntelier, FR"
2022-12-11,Neubau,"4,5 Zimmer",137 m²,CHF 1 120 000.—,"Hauptstrasse 143, 3286 Muntelier, FR"
2022-12-11,Neubauprojekt,"3,5 Zimmer",95 m²,CHF 690 000.—,"Bahnhofstrasse 3, 3067 Boll, BE"
2022-12-11,Neubauprojekt,"2,5 Zimmer",77 m²,CHF 610 000.—,"Bahnhofstrasse 4, 3067 Boll, BE"
2022-12-11,Neubau,"5,5 Zimmer",136 m²,CHF 2 145 000.—,"Chemin de la Vuachère 2, 1005 Lausanne, VD"
2022-12-11,Neubau,"2,5 Zimmer",57 m²,CHF 835 000.—,"Chemin de la Vuachère 2, 1005 Lausanne, VD"
2022-12-11,Neubau,"3,5 Zimmer",95 m²,CHF 1 505 000.—,"Chemin de la Vuachère 2, 1005 Lausanne, VD"
2022-12-11,Neubau,"3,5 Zimmer",96 m²,CHF 1 445 000.—,"Chemin de la Vuachère 2, 1005 Lausanne, VD"
2022-12-11,Neubau,"2,5 Zimmer",57 m²,CHF 845 000.—,"Chemin de la Vuachère 2, 1005 Lausanne, VD"
2022-12-11,Neubau,"3,5 Zimmer",81 m²,CHF 1 205 000.—,"Chemin de la Vuachère 2, 1005 Lausanne, VD"
2022-12-11,Neubau,"3,5 Zimmer",88 m²,CHF 1 325 000.—,"Chemin de la Vuachère 2, 1005 Lausanne, VD"
2022-12-11,Neubau,"3,5 Zimmer",101 m²,CHF 1 575 000.—,"Chemin de la Vuachère 2, 1005 Lausanne, VD"
2022-12-11,Neubau,"4,5 Zimmer",100 m²,CHF 1 545 000.—,"Chemin de la Vuachère 2, 1005 Lausanne, VD"
2022-12-11,Neubau,"2,5 Zimmer",63 m²,CHF 970 000.—,"Chemin de la Vuachère 2, 1005 Lausanne, VD"
2022-12-11,Neubau,"3,5 Zimmer",86 m²,CHF 1 300 000.—,"Chemin de la Vuachère 2, 1005 Lausanne, VD"
2022-12-11,Neubau,"2,5 Zimmer",65 m²,CHF 970 000.—,"Chemin de la Vuachère 2, 1005 Lausanne, VD"
2022-12-11,Neubau,"3,5 Zimmer",94 m²,CHF 1 460 000.—,"Chemin de la Vuachère 2, 1005 Lausanne, VD"
2022-12-11,Neubau,"4,5 Zimmer",118 m²,CHF 1 845 000.—,"Chemin de la Vuachère 2, 1005 Lausanne, VD"
2022-12-11,Neubau,"2,5 Zimmer",52 m²,CHF 465 000.—,"Route du Château d'Affry, 1762 Givisiez, FR"
2022-12-11,Neubau,"2,5 Zimmer",n/a,CHF 328 000.—,"Veia Grava 7, 7460 Savognin, GR"
2022-12-11,Neubau,"4,5 Zimmer",116 m²,CHF 840 000.—,"Wilistrasse 1, 8637 Laupen ZH, ZH"
2022-12-11,Neubau,"5,5 Zimmer",135 m²,CHF 1 130 000.—,"Obereggerstrasse 32A, 9442 Berneck, SG"
2022-12-11,Neubau,"4,5 Zimmer",126 m²,CHF 599 900.—,"Rue du 23-Juin, 2822 Courroux, JU"
2022-12-11,Neubau,"3,5 Zimmer",101 m²,CHF 446 900.—,"Rue du 23-Juin, 2822 Courroux, JU"
2022-12-11,Neubau,"2,5 Zimmer",48 m²,CHF 269 900.—,"Rue du 23-Juin, 2822 Courroux, JU"
2022-12-11,Neubauprojekt,"4,5 Zimmer",111 m²,CHF 810 000.—,"Bahnhofstrasse 3, 3067 Boll, BE"
2022-12-11,Neubau,"3,5 Zimmer",86 m²,CHF 715 000.—,"Schmiedgasse 3, 8545 Rickenbach ZH, ZH"
2022-12-11,Neubau,"4,5 Zimmer",125 m²,CHF 945 000.—,"Schmiedgasse 3, 8545 Rickenbach ZH, ZH"
2022-12-11,Neubau,"5,5 Zimmer",250 m²,CHF 4 250 000.—,"1820 Territet, VD"
2022-12-11,Neubau,"2,5 Zimmer",82 m²,CHF 670 000.—,"Hauptstrasse 143, 3286 Muntelier, FR"
2022-12-11,Neubau,"4,5 Zimmer",100 m²,CHF 1 600 000.—,"1071 Chexbres, VD"
2022-12-11,Neubau,"3,5 Zimmer",n/a,Preis auf Anfrage,"1009 Pully, VD"
2022-12-11,Neubau,"5,5 Zimmer",168 m²,CHF 635 000.—,"3945 Gampel, VS"
2022-12-11,Neubau,"5,5 Zimmer",168 m²,CHF 620 000.—,"3945 Gampel, VS"
2022-12-11,Neubau,"3,5 Zimmer",111 m²,CHF 669 000.—,"3945 Gampel, VS"
2022-12-11,Neubau,"5,5 Zimmer",165 m²,CHF 1 290 000.—,"Höchlistrasse 2, 8370 Sirnach, TG"
2022-12-11,Neubau,"4,5 Zimmer",159 m²,CHF 1 150 000.—,"Höchlistrasse 2, 8370 Sirnach, TG"
2022-12-11,Neubau,"5,5 Zimmer",163 m²,CHF 1 200 000.—,"Höchlistrasse 2, 8370 Sirnach, TG"
2022-12-11,Neubau,"5,5 Zimmer",175 m²,CHF 1 270 000.—,"Höchlistrasse 2, 8370 Sirnach, TG"
2022-12-11,Neubau,"5,5 Zimmer",192 m²,CHF 1 680 000.—,"Höchlistrasse 2, 8370 Sirnach, TG"
2022-12-11,Neubau,"5,5 Zimmer",164 m²,CHF 1 210 000.—,"Höchlistrasse 2, 8370 Sirnach, TG"
2022-12-11,Neubau,"5,5 Zimmer",166 m²,CHF 1 300 000.—,"Höchlistrasse 2, 8370 Sirnach, TG"
2022-12-11,Neubau,"5,5 Zimmer",192 m²,CHF 1 780 000.—,"Höchlistrasse 2, 8370 Sirnach, TG"
2022-12-11,Neubau,"5,5 Zimmer",168 m²,CHF 1 300 000.—,"Höchlistrasse 2, 8370 Sirnach, TG"
2022-12-11,Neubau,"4,5 Zimmer",157 m²,CHF 1 190 000.—,"Höchlistrasse 2, 8370 Sirnach, TG"
2022-12-11,Neubau,"6,5 Zimmer",165 m²,CHF 845 000.—,"Überführungsstrasse 9, 4538 Oberbipp, BE"
2022-12-11,Neubau,"7,5 Zimmer",181 m²,CHF 875 000.—,"Überführungsstrasse 9, 4538 Oberbipp, BE"
2022-12-11,Neubau,"4,5 Zimmer",116 m²,CHF 1 170 000.—,"5646 Abtwil AG, AG"
2022-12-11,Neubau,"4,5 Zimmer",136 m²,CHF 950 000.—,"Gässli/ Schulhausweg, 1793 Jeuss, FR"
2022-12-11,Neubau,"4,5 Zimmer",175 m²,CHF 1 440 000.—,"Via Valle Maggia, 6600 Locarno, TI"
2022-12-11,Neubau,"3,5 Zimmer",79 m²,CHF 576 000.—,"Frauenfelderstrasse 14, 8370 Sirnach, TG"
2022-12-11,Neubau,"4,5 Zimmer",109 m²,CHF 680 000.—,"Weiherstrasse, 8580 Amriswil, TG"
2022-12-11,Neubau,"4,5 Zimmer",108 m²,CHF 675 000.—,"Hauptstrasse 204A, 2552 Orpund, BE"
2022-12-11,Neubauprojekt,"3,5 Zimmer",100 m²,CHF 670 000.—,"Bahnhofstrasse 6, 3067 Boll, BE"
2022-12-11,Neubauprojekt,"4,5 Zimmer",143 m²,CHF 920 000.—,"Bahnhofstrasse 6, 3067 Boll, BE"
2022-12-11,Neubau,"5,5 Zimmer",145 m²,CHF 780 000.—,"Mühlestrasse 32, 3362 Niederönz, BE"
2022-12-11,Neubau,"3,5 Zimmer",101 m²,CHF 1 262 500.—,"Grampenweg 29, 8180 Bülach, ZH"
2022-12-11,Neubau,"4,5 Zimmer",131 m²,CHF 1 190 000.—,"Oberfeldweg 3, 2564 Bellmund, BE"
2022-12-11,Neubau,"4,5 Zimmer",115 m²,CHF 910 000.—,"Mühlestrasse 32, 3362 Niederönz, BE"
2022-12-11,Neubau,1 Zimmer,31 m²,CHF 340 000.—,"1032 Romanel-sur-Lausanne, VD"
2022-12-11,Neubau,"4,5 Zimmer",118 m²,CHF 920 000.—,"Neueneggstrasse 29, 31 + 33, 3172 Niederwangen b. Bern, BE"
2022-12-11,Neubau,"4,5 Zimmer",250 m²,Preis auf Anfrage,"Ahornweg 1, 7250 Klosters, GR"
2022-12-11,Neubau,"1,5 Zimmer",34 m²,CHF 270 000.—,"Via Sergio Mordasini 3, 6500 Bellinzona, TI"
2022-12-11,Neubau,"3,5 Zimmer",104 m²,CHF 970 000.—,"Im Kessler 1, 7304 Maienfeld, GR"
2022-12-11,Neubau,"4,5 Zimmer",131 m²,CHF 1 270 000.—,"Im Kessler 1, 7304 Maienfeld, GR"
2022-12-11,Neubau,"4,5 Zimmer",129 m²,CHF 1 190 000.—,"Im Kessler 1, 7304 Maienfeld, GR"
2022-12-11,Neubau,"2,5 Zimmer",55 m²,CHF 410 000.—,"Via Valle Maggia 53, 6600 Locarno, TI"
2022-12-11,Neubau,"4,5 Zimmer",99 m²,CHF 1 136 000.—,"Bisikonerstrasse 32, 8308 Illnau, ZH"
2022-12-11,Neubau,"3,5 Zimmer",82 m²,CHF 1 146 000.—,"Bisikonerstrasse 32, 8308 Illnau, ZH"
2022-12-11,Neubau,"3,5 Zimmer",89 m²,CHF 590 000.—,"Hauptstrasse 204A, 2552 Orpund, BE"
2022-12-11,Neubau,"3,5 Zimmer",88 m²,CHF 580 000.—,"Hauptstrasse 204A, 2552 Orpund, BE"
2022-12-11,Neubau,"3,5 Zimmer",86 m²,CHF 590 000.—,"Hauptstrasse 204, 2552 Orpund, BE"
2022-12-11,Neubau,"3,5 Zimmer",86 m²,CHF 580 000.—,"Hauptstrasse 204, 2552 Orpund, BE"
2022-12-11,Neubau,"5,5 Zimmer",151 m²,CHF 1 260 000.—,"Schmiedgasse 3, 8545 Rickenbach ZH, ZH"
2022-12-11,Neubau,"3,5 Zimmer",109 m²,CHF 1 471 500.—,"Grampenweg 29, 8180 Bülach, ZH"
2022-12-11,Neubau,"4,5 Zimmer",126 m²,CHF 900 000.—,"Am Rebberg 2, 9403 Goldach, SG"
2022-12-11,Neubau,"3,5 Zimmer",82 m²,CHF 635 000.—,"Schulstrasse 13, 8599 Salmsach, TG"
2022-12-11,Neubau,"2,5 Zimmer",61 m²,CHF 750 000.—,"1260 Nyon, VD"
2022-12-11,Neubau,"3,5 Zimmer",140 m²,CHF 1 350 000.—,"1260 Nyon, VD"
2022-12-11,Neubau,"3,5 Zimmer",93 m²,CHF 1 090 000.—,"1260 Nyon, VD"
2022-12-11,Neubau,"2,5 Zimmer",68 m²,CHF 790 000.—,"1260 Nyon, VD"
2022-12-11,Neubau,"5,5 Zimmer",124 m²,CHF 785 000.—,"8590 Romanshorn, TG"
2022-12-11,Neubau,"3,5 Zimmer",105 m²,CHF 1 090 000.—,"4500 Solothurn, SO"
2022-12-11,Neubau,1 Zimmer,38 m²,CHF 370 000.—,"1032 Romanel-sur-Lausanne, VD"
2022-12-11,Neubau,"4,5 Zimmer",105 m²,CHF 675 000.—,"Bernstrasse 48, 3125 Toffen, BE"
2022-12-11,Neubau,"4,5 Zimmer",105 m²,CHF 675 000.—,"Bernstrasse 48, 3125 Toffen, BE"
2022-12-11,Neubau,"4,5 Zimmer",106 m²,CHF 660 000.—,"Bernstrasse 48, 3125 Toffen, BE"
