Datum,Wohnungsart,Zimmeranzahl,Wohnungsgrösse_m2,Verkaufspreis,Wohnungs_Adresse,Kanton,Latitude/Longitude,clean,Latitude,Longitude
2022-12-21,Neubau,3.5,134,0,"Obere Mattstrasse 39, 8712 Stäfa, ZH",ZH,,clean,47.2377716,8.761434746115468
2022-12-21,Neubau,4.5,134,0,"Obere Mattstrasse 39, 8712 Stäfa, ZH",ZH,,clean,47.2377716,8.761434746115468
2022-12-21,Neubau,4.5,135,0,"Obere Mattstrasse 39, 8712 Stäfa, ZH",ZH,,clean,47.2377716,8.761434746115468
2022-12-21,Neubau,3.5,139,0,"Obere Mattstrasse 39, 8712 Stäfa, ZH",ZH,,clean,47.2377716,8.761434746115468
2022-12-21,Neubau,4.5,139,0,"Obere Mattstrasse 39, 8712 Stäfa, ZH",ZH,,clean,47.2377716,8.761434746115468
2022-12-21,Neubau,3.5,135,0,"Obere Mattstrasse 39, 8712 Stäfa, ZH",ZH,,clean,47.2377716,8.761434746115468
2022-12-21,Neubau,3.5,98,0,"Grotweg, 2543 Lengnau BE, BE",BE,,clean,47.1866131,7.3728762
2022-12-21,Neubau,3.5,97,0,"Grotweg, 2543 Lengnau BE, BE",BE,,clean,47.1866131,7.3728762
2022-12-21,Neubau,5.5,148,0,"3292 Busswil BE, BE",BE,,clean,47.0993634,7.3221402
2022-12-21,Neubau,3.5,75,0,"Rue de Bourgogne 17, 2525 Le Landeron, NE",NE,,clean,47.0561435,7.0631177
2022-12-21,Neubau,2.5,58,0,"Rue de Bourgogne 17, 2525 Le Landeron, NE",NE,,clean,47.0561435,7.0631177
2022-12-21,Neubau,3.5,84,0,"8374 Dussnang, TG",TG,,clean,47.4309534,8.9611134
2022-12-21,Neubau,4.5,105,0,"8374 Dussnang, TG",TG,,clean,47.4309534,8.9611134
2022-12-21,Neubau,5.5,156,0,"8374 Dussnang, TG",TG,,clean,47.4309534,8.9611134
2022-12-21,Neubau,3.5,92,0,"Parkettstrasse 36, 3432 Lützelflüh-Goldbach, BE",BE,,clean,unbekant,unbekannt
2022-12-21,Neubau,3.5,109,0,"Parkettstrasse 38, 3432 Lützelflüh-Goldbach, BE",BE,,clean,unbekant,unbekannt
2022-12-21,Neubau,3.5,92,0,"Parkettstrasse 34, 3432 Lützelflüh-Goldbach, BE",BE,,clean,unbekant,unbekannt
2022-12-21,Neubau,4.5,114,0,"Lilienweg 7, 3426 Aefligen, BE",BE,,clean,47.0935874,7.5592195
2022-12-21,Neubau,4.5,137,0,"Hauptstrasse 54, 4461 Böckten, BL",BL,,clean,47.4623294,7.8344456
2022-12-21,Neubauprojekt,3.5,108,0,"Bahnhofstrasse 4, 3067 Boll, BE",BE,,clean,46.9536891,7.5474863
2022-12-21,Neubauprojekt,5.5,150,0,"Bahnhofstrasse 4, 3067 Boll, BE",BE,,clean,46.9536891,7.5474863
2022-12-21,Neubauprojekt,2.5,77,0,"Bahnhofstrasse 4, 3067 Boll, BE",BE,,clean,46.9536891,7.5474863
2022-12-21,Neubau,1.5,75,0,"Hendschikerstrasse 14, 5600 Ammerswil AG, AG",AG,,clean,47.37189935,8.20947068511993
2022-12-21,Neubau,3.5,74,0,"Hendschikerstrasse 14, 5600 Ammerswil AG, AG",AG,,clean,47.37189935,8.20947068511993
2022-12-21,Neubau,5.5,124,0,"Schulstrasse 13, 8599 Salmsach, TG",TG,,clean,47.554768499999994,9.368919589096164
2022-12-21,Neubau,4.5,106,0,"6598 Tenero, TI",TI,,clean,46.17711393636364,8.84797781818182
2022-12-21,Neubau,4.5,122,0,"1180 Tartegnin, VD",VD,,clean,46.4666552,6.3156804
2022-12-21,Neubau,3.5,86,0,"Heerwiesweg, 8488 Turbenthal, ZH",ZH,,clean,47.4295388,8.8469099
2022-12-21,Neubau,4.5,116,0,"route des bains, 1911 Mayens-de-Chamoson, VS",VS,,clean,unbekant,unbekannt
2022-12-21,Neubauprojekt,4.5,111,0,"Bahnhofstrasse 3, 3067 Boll, BE",BE,,clean,46.9536891,7.5474863
2022-12-21,Neubau,3.5,91,0,"Via Erbale 12, 6616 Losone, TI",TI,,clean,46.1762948,8.7579212
2022-12-21,Neubau,3.5,101,0,"Vorstädtliweg 31, 4534 Flumenthal, SO",SO,,clean,47.2363145,7.604588238407226
2022-12-21,Neubau,3.5,85,0,"Hendschikerstrasse 14, 5600 Ammerswil AG, AG",AG,,clean,47.37189935,8.20947068511993
2022-12-21,Neubau,2.5,56,0,"Hendschikerstrasse 14, 5600 Ammerswil AG, AG",AG,,clean,47.37189935,8.20947068511993
2022-12-21,Neubau,5.5,160,0,"Sandacker 19, 5103 Möriken AG, AG",AG,,clean,47.4182587,8.1823535
2022-12-21,Neubau,4.5,120,0,"Euthalerstrasse 11, 8844 Euthal, SZ",SZ,,clean,47.0933327,8.8183758
2022-12-21,Neubau,3.5,70,0,"1123 Aclens, VD",VD,,clean,46.56617394,6.51548792
2022-12-21,Neubau,4.5,102,0,"1123 Aclens, VD",VD,,clean,46.56617394,6.51548792
2022-12-21,Neubau,4.5,89,0,"1123 Aclens, VD",VD,,clean,46.56617394,6.51548792
2022-12-21,Neubau,3.5,89,0,"1123 Aclens, VD",VD,,clean,46.56617394,6.51548792
2022-12-21,Neubau,3.5,86,0,"Promenade des Vanils 9, 1740 Neyruz FR, FR",FR,,clean,46.766831350000004,7.064210665718092
2022-12-21,Neubau,5.5,255,0,"3963 Crans-Montana, VS",VS,,clean,46.30872290202726,7.480706208493534
2022-12-21,Neubau,3.0,86,0,"1337 Vallorbe, VD",VD,,clean,46.7113158,6.3793728
2022-12-21,Neubau,3.0,75,0,"1337 Vallorbe, VD",VD,,clean,46.7113158,6.3793728
2022-12-21,Neubau,4.5,0,0,"Edelweissstrasse 7, 3988 Ulrichen, VS",VS,,clean,unbekant,unbekannt
2022-12-21,Neubau,3.5,100,0,"Stockenstrasse 11C, 9249 Algetshausen, SG",SG,,clean,47.4463932,9.108971539128458
2022-12-21,Neubau,5.5,157,0,"Stockenstrasse 11C, 9249 Algetshausen, SG",SG,,clean,47.4463932,9.108971539128458
2022-12-21,Neubau,2.5,82,0,"Hauptstrasse 143, 3286 Muntelier, FR",FR,,clean,46.9402313,7.133714997855304
2022-12-21,Neubau,3.5,75,0,"Route de Saignelégier 32, 2714 Les Genevez JU, JU",JU,,clean,47.2536589,7.1256924
2022-12-21,Neubauprojekt,3.5,95,0,"Bahnhofstrasse 3, 3067 Boll, BE",BE,,clean,46.9536891,7.5474863
2022-12-21,Neubauprojekt,3.5,100,0,"Bahnhofstrasse 6, 3067 Boll, BE",BE,,clean,46.9536891,7.5474863
2022-12-21,Neubau,4.5,120,0,"Flüestrasse 34, 5313 Klingnau, AG",AG,,clean,47.5794837,8.2569683
2022-12-21,Neubau,4.5,130,0,"Flüestrasse 34, 5313 Klingnau, AG",AG,,clean,47.5794837,8.2569683
2022-12-21,Neubau,4.5,130,0,"Route de Maracon 9, 1613 Maracon, VD",VD,,clean,46.54628375,6.86531395
2022-12-21,Neubau,3.5,78,0,"1801 Le Mont-Pèlerin, VD",VD,,clean,46.4823378,6.8319462
2022-12-21,Neubau,5.5,120,0,"1801 Le Mont-Pèlerin, VD",VD,,clean,46.4823378,6.8319462
2022-12-21,Neubau,4.5,96,0,"1801 Le Mont-Pèlerin, VD",VD,,clean,46.4823378,6.8319462
2022-12-21,Neubau,2.0,75,0,"Bahnhofstrasse 12, 8854 Siebnen, SZ",SZ,,clean,47.1756048,8.8982423
2022-12-21,Neubau,3.5,93,0,"Mittelgäustrasse 7a, 4616 Kappel SO, SO",SO,,clean,47.3245312,7.8484816
2022-12-21,Neubau,3.5,100,0,"Gibelfeldstrasse 48, 2540 Grenchen, SO",SO,,clean,47.1884213,7.3924687
2022-12-21,Neubau,4.5,135,0,"Euthalerstrasse 11, 8844 Euthal, SZ",SZ,,clean,47.0933327,8.8183758
2022-12-21,Neubau,6.0,161,0,"1200 Genève, GE",GE,,clean,46.19454185,6.1392286
2022-12-21,Neubau,4.5,135,0,"8712 Stäfa, ZH",ZH,,clean,47.24243747596202,8.72719206641679
2022-12-21,Neubau,3.5,139,0,"8712 Stäfa, ZH",ZH,,clean,47.24243747596202,8.72719206641679
2022-12-21,Neubau,4.5,127,0,"8712 Stäfa, ZH",ZH,,clean,47.24243747596202,8.72719206641679
2022-12-21,Neubau,4.5,134,0,"8712 Stäfa, ZH",ZH,,clean,47.24243747596202,8.72719206641679
2022-12-21,Neubau,3.5,109,0,"8712 Stäfa, ZH",ZH,,clean,47.24243747596202,8.72719206641679
2022-12-21,Neubau,4.5,119,0,"8712 Stäfa, ZH",ZH,,clean,47.24243747596202,8.72719206641679
2022-12-21,Neubau,3.5,134,0,"8712 Stäfa, ZH",ZH,,clean,47.24243747596202,8.72719206641679
2022-12-21,Neubau,4.5,139,0,"8712 Stäfa, ZH",ZH,,clean,47.24243747596202,8.72719206641679
2022-12-21,Neubau,3.5,135,0,"8712 Stäfa, ZH",ZH,,clean,47.24243747596202,8.72719206641679
2022-12-21,Neubau,2.5,48,0,"via Peschiera, 6982 Agno, TI",TI,,clean,45.9986815,8.903848
2022-12-21,Neubau,2.5,70,0,"Hübeli 377a, 3550 Langnau im Emmental, BE",BE,,clean,46.9453164,7.7691306
2022-12-21,Neubau,3.5,95,0,"Le Day, 1337 Vallorbe, VD",VD,,clean,46.7163872,6.3994595
2022-12-21,Neubau,3.5,109,0,"Dorfstrasse 89, 3065 Bolligen, BE",BE,,clean,46.98477025,7.5030127317591635
2022-12-21,Neubau,4.5,144,0,"Via della Pace 18, 6600 Locarno, TI",TI,,clean,46.1654729,8.7997135
2022-12-21,Neubau,2.5,86,0,"Via del Tiglio, 6592 S. Antonino, TI",TI,,clean,46.1562773,8.9787387
2022-12-21,Neubau,3.5,75,0,"Rue du Port 31, 1820 Montreux, VD",VD,,clean,46.442212049999995,6.896893654157193
2022-12-21,Neubau,4.5,131,0,"1844 Villeneuve VD, VD",VD,,clean,46.39410503626943,6.926961813471502
2022-12-21,Neubau,2.5,58,0,"Via Cappelletta 5, 6533 Lumino, TI",TI,,clean,46.2294946,9.0636941
2022-12-21,Neubau,5.5,157,0,"Schorrenstrasse 1, 8854 Galgenen, SZ",SZ,,clean,47.175236850000005,8.894864176236847
2022-12-21,Neubau,4.5,105,0,"Aegertiweg 3, 3800 Matten b. Interlaken, BE",BE,,clean,unbekant,unbekannt
2022-12-21,Neubau,3.5,72,0,"1337 Vallorbe, VD",VD,,clean,46.7113158,6.3793728
2022-12-21,Neubau,4.5,110,0,"8590 Romanshorn, TG",TG,,clean,47.565475960741495,9.370088253478924
2022-12-21,Neubau,4.5,178,0,"Hauptstrasse 143, 3286 Muntelier, FR",FR,,clean,46.9402313,7.133714997855304
2022-12-21,Neubau,4.5,114,0,"Oklahomastrasse 31, 9249 Oberstetten, SG",SG,,clean,47.448405199999996,9.088812209861324
2022-12-21,Neubau,4.5,130,0,"Route de Maracon 9, 1613 Maracon, VD",VD,,clean,46.54628375,6.86531395
2022-12-21,Neubau,4.5,118,0,"Rue de la Gare, 2206 Les Geneveys-sur-Coffrane, NE",NE,,clean,47.0159351,6.8535369
2022-12-21,Neubau,4.5,155,0,"Rue de la Gare, 2206 Les Geneveys-sur-Coffrane, NE",NE,,clean,47.0159351,6.8535369
2022-12-21,Neubau,3.5,106,0,"Rue de la Gare, 2206 Les Geneveys-sur-Coffrane, NE",NE,,clean,47.0159351,6.8535369
2022-12-21,Neubauprojekt,4.5,143,0,"Bahnhofstrasse 6, 3067 Boll, BE",BE,,clean,46.9536891,7.5474863
2022-12-21,Neubau,3.5,92,0,"Hendschikerstrasse 14, 5600 Ammerswil AG, AG",AG,,clean,47.37189935,8.20947068511993
2022-12-21,Neubau,4.5,116,0,"Zumhofstrasse, 6010 Kriens, LU",LU,,clean,47.0400247,8.2747661
2022-12-21,Neubau,3.5,94,0,"Zumhofstrasse, 6010 Kriens, LU",LU,,clean,47.0400247,8.2747661
2022-12-21,Neubau,4.5,123,0,"Sonnenhaldenweg, 9500 Wil SG, SG",SG,,clean,unbekant,unbekannt
2022-12-21,Neubau,3.5,141,0,"Sonnenhaldenweg, 9500 Wil SG, SG",SG,,clean,unbekant,unbekannt
2022-12-21,Neubau,3.5,93,0,"1337 Vallorbe, VD",VD,,clean,46.7113158,6.3793728
2022-12-21,Neubau,4.5,123,0,"1424 Champagne, VD",VD,,clean,46.83148165588235,6.657625800420168
2022-12-21,Neubau,4.5,128,0,"Mühlethalstrasse 121, 4800 Zofingen, AG",AG,,clean,47.2912475,7.9440067
2022-12-21,Neubau,4.5,116,0,"Jesuitenweg 165, 3900 Brig, VS",VS,,clean,46.3127546,7.9757681
2022-12-21,Neubau,3.5,118,0,"Hauptstrasse 143, 3286 Muntelier, FR",FR,,clean,46.9402313,7.133714997855304
2022-12-21,Neubau,4.5,162,0,"Hauptstrasse 143, 3286 Muntelier, FR",FR,,clean,46.9402313,7.133714997855304
2022-12-21,Neubau,5.5,176,0,"Hauptstrasse 143, 3286 Muntelier, FR",FR,,clean,46.9402313,7.133714997855304
2022-12-21,Neubau,2.5,74,0,"Kreuzackerweg 4, 4103 Bottmingen, BL",BL,,clean,47.5262535,7.567117016079354
2022-12-21,Neubau,5.5,211,0,"Dorfstrasse 33, 8261 Hemishofen, SH",SH,,clean,47.6773902,8.82669377678137
2022-12-21,Neubau,3.5,91,0,"Hübeli, 3550 Langnau im Emmental, BE",BE,,clean,46.9453164,7.7691306
2022-12-21,Neubau,4.5,128,0,"Nebikerstrasse 22, 6247 Schötz, LU",LU,,clean,47.1730386,7.9882452
2022-12-21,Neubau,3.5,110,0,"Hurschgasse 2, 3633 Amsoldingen, BE",BE,,clean,46.727648099999996,7.584053990037592
2022-12-21,Neubau,3.5,111,0,"8269 Fruthwilen, TG",TG,,clean,47.6609891,9.0664316
2022-12-21,Neubau,5.0,176,0,"1290 Versoix, GE",GE,,clean,46.29619018952381,6.150902112380952
2022-12-21,Neubau,4.5,123,0,"1424 Champagne, VD",VD,,clean,46.83148165588235,6.657625800420168
2022-12-21,Neubau,5.5,248,0,"Zürichstrasse 3c, 4922 Bützberg, BE",BE,,clean,47.2167137,7.7519433
2022-12-21,Neubau,2.5,76,0,"Kreuzackerweg 4, 4103 Bottmingen, BL",BL,,clean,47.5262535,7.567117016079354
2022-12-21,Neubau,4.5,154,0,"3963 Crans-Montana, VS",VS,,clean,46.30872290202726,7.480706208493534
2022-12-21,Neubau,4.5,123,0,"Via Orio 5, 6946 Ponte Capriasca, TI",TI,,clean,46.0622264,8.945579
2022-12-21,Neubau,4.5,110,0,"Schulstrasse 13, 8599 Salmsach, TG",TG,,clean,47.554768499999994,9.368919589096164
2022-12-21,Neubau,4.5,115,0,"Schulstrasse 13, 8599 Salmsach, TG",TG,,clean,47.554768499999994,9.368919589096164
2022-12-21,Neubau,4.5,110,0,"Schulstrasse 13, 8599 Salmsach, TG",TG,,clean,47.554768499999994,9.368919589096164
2022-12-21,Neubau,4.5,115,0,"Schulstrasse 13, 8599 Salmsach, TG",TG,,clean,47.554768499999994,9.368919589096164
