Datum,Wohnungsart,Zimmeranzahl,Wohnungsgrösse_m2,Verkaufspreis,Wohnungs_Adresse,Kanton,Latitude/Longitude,clean
2022-12-21,Neubau,3.5,102,590000,"1347 Le Sentier, VD",VD,"(46.606022, 6.2314896)",clean
2022-12-21,Neubau,4.5,135,670000,"Sonnenstrasse, 3953 Leuk Stadt, VS",VS,"(46.3196425, 7.6317464)",clean
2022-12-21,Neubau,5.5,152,740000,"Brückenmoosstrasse, 3942 Raron, VS",VS,"(46.3092659, 7.7940906)",clean
2022-12-21,Neubau,2.5,63,520000,"Hinterdorfstrasse, 5707 Seengen, AG",AG,"(47.3281397, 8.2052914)",clean
2022-12-21,Neubau,3.5,0,860000,"1717 St. Ursen, FR",FR,"(46.7934533, 7.2140875)",clean
2022-12-21,Neubau,3.5,115,990000,"6942 Savosa, TI",TI,"(46.018003878125, 8.94813003125)",clean
2022-12-21,Neubau,3.5,87,1970000,"Poststrasse 47, 7050 Arosa, GR",GR,"(46.7822849, 9.6798375)",clean
2022-12-21,Neubau,3.5,77,1780000,"Poststrasse 47, 7050 Arosa, GR",GR,"(46.7822849, 9.6798375)",clean
2022-12-21,Neubau,3.5,87,1970000,"Poststrasse 47, 7050 Arosa, GR",GR,"(46.7822849, 9.6798375)",clean
2022-12-21,Neubau,4.5,113,2495000,"Poststrasse 47, 7050 Arosa, GR",GR,"(46.7822849, 9.6798375)",clean
2022-12-21,Neubau,3.5,78,1780000,"Poststrasse 47, 7050 Arosa, GR",GR,"(46.7822849, 9.6798375)",clean
2022-12-21,Neubau,4.5,113,2495000,"Poststrasse 47, 7050 Arosa, GR",GR,"(46.7822849, 9.6798375)",clean
2022-12-21,Neubau,3.5,76,430000,"1525 Henniez, VD",VD,"(46.7422549, 6.8834048)",clean
2022-12-21,Neubauprojekt,4.5,127,832000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,3.5,77,649000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,3.5,98,870000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,3.5,116,1020000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,4.5,130,1060000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,4.5,109,820000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,4.5,131,1100000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,3.5,111,880000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,5.5,146,926000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,4.5,118,990000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,3.5,113,955000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,4.5,125,908000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,3.5,116,865000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,4.5,121,820000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,4.5,109,925000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,5.5,159,985000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,4.5,137,820000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,4.5,146,960000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubauprojekt,4.5,114,860000,"Schwendetalstrasse, 9057 Schwende, AI",AI,"(47.2869715, 9.4296722)",clean
2022-12-21,Neubau,3.5,87,542000,"Route de la Perrausa, 1727 Corpataux, FR",FR,"(46.7463427, 7.0964417)",clean
2022-12-21,Neubau,2.0,79,766800,"Grande Combe 105, 3961 Grimentz, VS",VS,"(None, None)",clean
2022-12-21,Neubau,5.5,129,1080000,"Hinterdorfstrasse, 5707 Seengen, AG",AG,"(47.3281397, 8.2052914)",clean
2022-12-21,Neubau,2.5,65,319000,"6830 Chiasso, TI",TI,"(45.835011709545455, 9.027768345454545)",clean
2022-12-21,Neubau,0.0,0,0,"6598 Tenero, TI",TI,"(46.17711393636364, 8.84797781818182)",clean
